2024-08-24 09:23:46.710 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/24 9:23:46 +08:00
2024-08-24 09:47:27.270 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:47:27.270 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:27.281 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:47:37.290 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:37.290 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:47:37.290 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:37.297 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:47:47.310 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:47.311 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:47:47.311 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:47:47.316 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
